AAL	ɐ ɐ l
ADJUDICAR	ɐ d u d i k ɐ ɾ
ADJUDICAÇÃO	ɐ d u d i k ɐ s ɐ̃ w
ADJUNTA	ɐ d ũ t ɐ
ADJUNTAS	ɐ d ũ t ɐ ʃ
ADJUNTO	ɐ d ũ t u
ADJUNTOS	ɐ d ũ t u ʃ
ADJUNÇÃO	ɐ d ũ s ɐ̃ w
ADJUTORA	ɐ d u t o ɾ ɐ
ADJUVANTE	ɐ d u v ɐ̃ t i
ADJÁ	ɐ d ɐ
ADMINISTRA	ɐ d i m i n i ʃ t ɾ ɐ
ADMINISTRADA	ɐ d i m i n i ʃ t ɾ ɐ d ɐ
ADMINISTRADAS	ɐ d i m i n i ʃ t ɾ ɐ d ɐ ʃ
ADMINISTRADO	ɐ d i m i n i ʃ t ɾ ɐ d u
ADMINISTRADOR	ɐ d i m i n i ʃ t ɾ ɐ d o ɾ
ADMINISTRADORA	ɐ d i m i n i ʃ t ɾ ɐ d o ɾ ɐ
ADMINISTRADORAS	ɐ d i m i n i ʃ t ɾ ɐ d o ɾ ɐ ʃ
ADMINISTRADORES	ɐ d i m i n i ʃ t ɾ ɐ d ɔ ɾ i ʃ
ADMINISTRADOS	ɐ d i m i n i ʃ t ɾ ɐ d u ʃ
ADMINISTRAM	ɐ d i m i n i ʃ t ɾ ɐ̃ w
ADMINISTRAMOS	ɐ d i m i n i ʃ t ɾ ɐ m u ʃ
ADMINISTRANDO	ɐ d i m i n i ʃ t ɾ ɐ̃ d u
ADMINISTRAR	ɐ d i m i n i ʃ t ɾ ɐ ɾ
ADMINISTRARAM	ɐ d i m i n i ʃ t ɾ ɐ ɾ ɐ̃ w
ADMINISTRARIA	ɐ d i m i n i ʃ t ɾ ɐ ɾ i ɐ
ADMINISTRARMOS	ɐ d i m i n i ʃ t ɾ ɐ ɾ m u ʃ
ADMINISTRASSE	ɐ d i m i n i ʃ t ɾ ɐ s i
ADMINISTRASSEM	ɐ d i m i n i ʃ t ɾ ɐ s ẽ
ADMINISTRATIVA	ɐ d i m i n i ʃ t ɾ ɐ t i v ɐ
ADMINISTRATIVAS	ɐ d i m i n i ʃ t ɾ ɐ t i v ɐ ʃ
ADMINISTRATIVISTA	ɐ d i m i n i ʃ t ɾ ɐ t i v i ʃ t ɐ
ADMINISTRATIVO	ɐ d i m i n i ʃ t ɾ ɐ t i v u
ADMINISTRATIVOS	ɐ d i m i n i ʃ t ɾ ɐ t i v u ʃ
ADMINISTRAVA	ɐ d i m i n i ʃ t ɾ ɐ v ɐ
ADMINISTRAVAM	ɐ d i m i n i ʃ t ɾ ɐ v ɐ̃ w
ADMINISTRAÇÃO	ɐ d i m i n i ʃ t ɾ ɐ s ɐ̃ w
ADMINISTRAÇÕES	ɐ d i m i n i ʃ t ɾ ɐ s õ j ʃ
ADMINISTRE	ɐ d i m i n i ʃ t ɾ i
ADMINISTREI	ɐ d i m i n i ʃ t ɾ e j
ADMINISTREM	ɐ d i m i n i ʃ t ɾ ẽ
ADMINISTREMOS	ɐ d i m i n i ʃ t ɾ e m u ʃ
ADMINISTRO	ɐ d i m i n i ʃ t ɾ u
ADMINISTROU	ɐ d i m i n i ʃ t ɾ o w
ADMINISTRÁVEIS	ɐ d i m i n i ʃ t ɾ ɐ v e j ʃ
ADMINISTRÁVEL	ɐ d i m i n i ʃ t ɾ ɐ v ɛ l
ADMIRA	ɐ d i m i ɾ ɐ
ADMIRA-SE	ɐ d i m i ɾ ɐ s i
ADMIRADA	ɐ d i m i ɾ ɐ d ɐ
ADMIRADAS	ɐ d i m i ɾ ɐ d ɐ ʃ
ADMIRADO	ɐ d i m i ɾ ɐ d u
ADMIRADOR	ɐ d i m i ɾ ɐ d o ɾ
ADMIRADORA	ɐ d i m i ɾ ɐ d o ɾ ɐ
ADMIRADORAS	ɐ d i m i ɾ ɐ d o ɾ ɐ ʃ
ADMIRADORES	ɐ d i m i ɾ ɐ d ɔ ɾ i ʃ
ADMIRADOS	ɐ d i m i ɾ ɐ d u ʃ
ADMIRADÍSSIMA	ɐ d i m i ɾ ɐ d i s i m ɐ
ADMIRAM	ɐ d i m i ɾ ɐ̃ w
ADMIRAMOS	ɐ d i m i ɾ ɐ m u ʃ
ADMIRANDO	ɐ d i m i ɾ ɐ̃ d u
ADMIRAR	ɐ d i m i ɾ ɐ ɾ
ADMIRAR-SE	ɐ d i m i ɾ ɐ ɾ s i
ADMIRARA	ɐ d i m i ɾ ɐ ɾ ɐ
ADMIRARAM	ɐ d i m i ɾ ɐ ɾ ɐ̃ w
ADMIRAREM	ɐ d i m i ɾ ɐ ɾ ẽ
ADMIRARIA	ɐ d i m i ɾ ɐ ɾ i ɐ
ADMIRARMOS	ɐ d i m i ɾ ɐ ɾ m u ʃ
ADMIRAS	ɐ d i m i ɾ ɐ ʃ
ADMIRASSE	ɐ d i m i ɾ ɐ s i
ADMIRATIVO	ɐ d i m i ɾ ɐ t i v u
ADMIRAVA	ɐ d i m i ɾ ɐ v ɐ
ADMIRAVA-ME	ɐ d i m i ɾ ɐ v ɐ m i
ADMIRAVA-SE	ɐ d i m i ɾ ɐ v ɐ s i
ADMIRAVAM	ɐ d i m i ɾ ɐ v ɐ̃ w
ADMIRAVELMENTE	ɐ d i m i ɾ ɐ v ɛ w m ẽ t i
ADMIRAÇÃO	ɐ d i m i ɾ ɐ s ɐ̃ w
ADMIRAÇÕES	ɐ d i m i ɾ ɐ s õ j ʃ
ADMIRE	ɐ d i m i ɾ i
ADMIREI	ɐ d i m i ɾ e j
ADMIREIS	ɐ d i m i ɾ e j ʃ
ADMIREM	ɐ d i m i ɾ ẽ
ADMIREMOS	ɐ d i m i ɾ e m u ʃ
ADMIRES	ɐ d i m i ɾ i ʃ
ADMIRO	ɐ d i m i ɾ u
ADMIROU	ɐ d i m i ɾ o w
ADMIROU-SE	ɐ d i m i ɾ o w s i
ADMIRÁ	ɐ d i m i ɾ ɐ
ADMIRÁVAMOS	ɐ d i m i ɾ ɐ v ɐ m u ʃ
ADMIRÁVEIS	ɐ d i m i ɾ ɐ v e j ʃ
ADMIRÁVEL	ɐ d i m i ɾ ɐ v ɛ l
ADMISSIBILIDADE	ɐ d i m i s i b i l i d ɐ d i
ADMISSIONAL	ɐ d i m i s i o n ɐ l
ADMISSÃO	ɐ d i m i s ɐ̃ w
ADMISSÍVEIS	ɐ d i m i s i v e j ʃ
ADMISSÍVEL	ɐ d i m i s i v ɛ l
ADMISSÕES	ɐ d i m i s õ j ʃ
ADMITA	ɐ d i m i t ɐ
ADMITAM	ɐ d i m i t ɐ̃ w
ADMITAMOS	ɐ d i m i t ɐ m u ʃ
ADMITAS	ɐ d i m i t ɐ ʃ
ADMITE	ɐ d i m i t i
ADMITEM	ɐ d i m i t ẽ
ADMITI	ɐ d i m i t i
ADMITIA	ɐ d i m i t i ɐ
ADMITIAM	ɐ d i m i t i ɐ̃ w
ADMITIDA	ɐ d i m i t i d ɐ
ADMITIDAS	ɐ d i m i t i d ɐ ʃ
ADMITIDO	ɐ d i m i t i d u
ADMITIDOS	ɐ d i m i t i d u ʃ
ADMITIMOS	ɐ d i m i t i m u ʃ
ADMITINDO	ɐ d i m i t ĩ d u
ADMITIR	ɐ d i m i t i ɾ
ADMITIRA	ɐ d i m i t i ɾ ɐ
ADMITIRAM	ɐ d i m i t i ɾ ɐ̃ w
ADMITIREM	ɐ d i m i t i ɾ ẽ
ADMITIREMOS	ɐ d i m i t i ɾ e m u ʃ
ADMITIRIA	ɐ d i m i t i ɾ i ɐ
ADMITIRMOS	ɐ d i m i t i ɾ m u ʃ
ADMITIRÁ	ɐ d i m i t i ɾ ɐ
ADMITIRÃO	ɐ d i m i t i ɾ ɐ̃ w
ADMITISSE	ɐ d i m i t i s i
ADMITISTE	ɐ d i m i t i ʃ t i
ADMITIU	ɐ d i m i t i w
ADMITO	ɐ d i m i t u
ADMOESTADO	ɐ d i m o e ʃ t ɐ d u
ADMOESTANDO	ɐ d i m o e ʃ t ɐ̃ d u
ADMOESTAÇÃO	ɐ d i m o e ʃ t ɐ s ɐ̃ w
ADMOESTAÇÕES	ɐ d i m o e ʃ t ɐ s õ j ʃ
ADMOESTE	ɐ d i m o e ʃ t i
ADMOESTO	ɐ d i m o ɛ ʃ t u
ADMÁ	ɐ d i m ɐ
ADN	ɐ d e e n i
ADNOMINAL	ɐ d i n o m i n ɐ l
ADOEÇA	ɐ d o e s ɐ
ADOEÇAM	ɐ d o e s ɐ̃ w
ADOEÇO	ɐ d o e s u
ADOLESCENTE	ɐ d o l e s ẽ t i
ADOLESCENTES	ɐ d o l e s ẽ t i ʃ
ADOPTES	ɐ d ɔ p i t i ʃ
ADOPTIVO	ɐ d o p i t i v u
ADORA	ɐ d ɔ ɾ ɐ
ADORAS	ɐ d ɔ ɾ ɐ s
ADORAVELMENTE	ɐ d o ɾ ɐ v ɛ w m ẽ t i
ADORMEÇA	ɐ d o ɾ m e s ɐ
ADORMEÇAS	ɐ d o ɾ m e s ɐ s
ADORMEÇO	ɐ d o ɾ m e s u
ADORÁVEL	ɐ d o ɾ ɐ v ɛ l
ADOTANTE	ɐ d o t ɐ̃ t i
ADOTANTES	ɐ d o t ɐ̃ t i ʃ
ADOTE	ɐ d ɔ t i
ADOTIVA	ɐ d o t i v ɐ
ADOTIVAS	ɐ d o t i v ɐ ʃ
ADOTIVO	ɐ d o t i v u
ADOTIVOS	ɐ d o t i v u ʃ
ADOÇANTE	ɐ d o s ɐ̃ t i
ADP	ɐ d e p e
ADQUIRA	ɐ d i k i ɾ ɐ
ADQUIRAM	ɐ d i k i ɾ ɐ̃ w
ADQUIRE	ɐ d i k i ɾ i
ADQUIREM	ɐ d i k i ɾ ẽ
ADQUIRENTE	ɐ d i k i ɾ ẽ t i
ADQUIRENTES	ɐ d i k i ɾ ẽ t i ʃ
ADQUIRES	ɐ d i k i ɾ i ʃ
ADQUIRI	ɐ d i k i ɾ i
ADQUIRIA	ɐ d i k i ɾ i ɐ
ADQUIRIAM	ɐ d i k i ɾ i ɐ̃ w
ADQUIRIDA	ɐ d i k i ɾ i d ɐ
ADQUIRIDAS	ɐ d i k i ɾ i d ɐ ʃ
ADQUIRIDO	ɐ d i k i ɾ i d u
ADQUIRIDOS	ɐ d i k i ɾ i d u ʃ
ADQUIRIMOS	ɐ d i k i ɾ i m u ʃ
ADQUIRINDO	ɐ d i k i ɾ ĩ d u
ADQUIRIR	ɐ d i k i ɾ i ɾ
ADQUIRIRA	ɐ d i k i ɾ i ɾ ɐ
ADQUIRIRA-O	ɐ d i k i ɾ i ɾ ɐ u
ADQUIRIRAM	ɐ d i k i ɾ i ɾ ɐ̃ w
ADQUIRIREM	ɐ d i k i ɾ i ɾ ẽ
ADQUIRIRMOS	ɐ d i k i ɾ i ɾ m u ʃ
ADQUIRIRÁ	ɐ d i k i ɾ i ɾ ɐ
ADQUIRIRÃO	ɐ d i k i ɾ i ɾ ɐ̃ w
ADQUIRISSE	ɐ d i k i ɾ i s i
ADQUIRISSEM	ɐ d i k i ɾ i s ẽ
ADQUIRIU	ɐ d i k i ɾ i w
ADQUIRO	ɐ d i k i ɾ u
ADREDE	ɐ d ɾ ɛ d i
ADRENAL	ɐ d ɾ e n ɐ l
ADRENOCORTICOTRÓFICO	ɐ d ɾ e n o k o ɾ t i k o t ɾ ɔ f i k u
ADRIEL	ɐ d ɾ i ɛ l
ADSCRITA	ɐ d i ʃ k ɾ i t ɐ
ADSCRITO	ɐ d i ʃ k ɾ i t u
ADSON	ɐ d i s õ
ADSORVATO	ɐ d i s o ɾ v ɐ t u
ADSORVENTE	ɐ d i s o ɾ v ẽ t i
ADSORÇÃO	ɐ d i s o ɾ s ɐ̃ w
ADSTRINGENTE	ɐ d i ʃ t ɾ ĩ ʒ ẽ t i
ADSTRINGIR	ɐ d i ʃ t ɾ ĩ ʒ i ɾ
ADSTRITA	ɐ d i ʃ t ɾ i t ɐ
ADSTRITAS	ɐ d i ʃ t ɾ i t ɐ ʃ
ADSTRITO	ɐ d i ʃ t ɾ i t u
ADSTRITOS	ɐ d i ʃ t ɾ i t u ʃ
ADULTERANTE	ɐ d u w t e ɾ ɐ̃ t i
ADURENTES	ɐ d u ɾ ẽ t i ʃ
ADVEIO	ɐ d i v e j u
ADVENTISMO	ɐ d i v ẽ t i z m u
ADVENTISTA	ɐ d i v ẽ t i ʃ t ɐ
ADVENTISTAS	ɐ d i v ẽ t i ʃ t ɐ ʃ
ADVENTO	ɐ d i v ẽ t u
ADVENTOS	ɐ d i v ẽ t u ʃ
ADVENTÍCIA	ɐ d i v ẽ t i s i ɐ
ADVENTÍCIAS	ɐ d i v ẽ t i s i ɐ ʃ
ADVENTÍCIO	ɐ d i v ẽ t i s i u
ADVENTÍCIOS	ɐ d i v ẽ t i s i u ʃ
ADVERBIAIS	ɐ d i v e ɾ b i ɐ j ʃ
ADVERBIAL	ɐ d i v e ɾ b i ɐ l
ADVERBIAM	ɐ d i v e ɾ b i ɐ̃ w
ADVERBIO	ɐ d i v e ɾ b i u
ADVERSA	ɐ d i v ɛ ɾ s ɐ
ADVERSAMENTE	ɐ d i v ɛ ɾ s ɐ m ẽ t i
ADVERSAS	ɐ d i v ɛ ɾ s ɐ ʃ
ADVERSATIVA	ɐ d i v e ɾ s ɐ t i v ɐ
ADVERSATIVAS	ɐ d i v e ɾ s ɐ t i v ɐ ʃ
ADVERSATIVO	ɐ d i v e ɾ s ɐ t i v u
ADVERSE	ɐ d i v ɛ ɾ s i
ADVERSIDADE	ɐ d i v e ɾ s i d ɐ d i
ADVERSIDADES	ɐ d i v e ɾ s i d ɐ d i ʃ
ADVERSO	ɐ d i v ɛ ɾ s u
ADVERSOS	ɐ d i v ɛ ɾ s u ʃ
ADVERSÁRIA	ɐ d i v e ɾ s ɐ ɾ i ɐ
ADVERSÁRIAS	ɐ d i v e ɾ s ɐ ɾ i ɐ ʃ
ADVERSÁRIO	ɐ d i v e ɾ s ɐ ɾ i u
ADVERSÁRIOS	ɐ d i v e ɾ s ɐ ɾ i u ʃ
ADVERTE	ɐ d i v ɛ ɾ t i
ADVERTEM	ɐ d i v ɛ ɾ t ẽ
ADVERTI	ɐ d i v e ɾ t i
ADVERTIA	ɐ d i v e ɾ t i ɐ
ADVERTIAM	ɐ d i v e ɾ t i ɐ̃ w
ADVERTIDAS	ɐ d i v e ɾ t i d ɐ ʃ
ADVERTIDO	ɐ d i v e ɾ t i d u
ADVERTIDOS	ɐ d i v e ɾ t i d u ʃ
ADVERTIMOS	ɐ d i v e ɾ t i m u ʃ
ADVERTINDO	ɐ d i v e ɾ t ĩ d u
ADVERTIR	ɐ d i v e ɾ t i ɾ
ADVERTIRA	ɐ d i v e ɾ t i ɾ ɐ
ADVERTIRAM	ɐ d i v e ɾ t i ɾ ɐ̃ w
ADVERTIRIA	ɐ d i v e ɾ t i ɾ i ɐ
ADVERTIRMOS	ɐ d i v e ɾ t i ɾ m u ʃ
ADVERTISSE	ɐ d i v e ɾ t i s i
ADVERTIU	ɐ d i v e ɾ t i w
ADVERTÊNCIA	ɐ d i v e ɾ t ẽ s i ɐ
ADVERTÊNCIAS	ɐ d i v e ɾ t ẽ s i ɐ ʃ
ADVIESSE	ɐ d i v i ɛ s i
ADVINDA	ɐ d i v ĩ d ɐ
ADVINDAS	ɐ d i v ĩ d ɐ ʃ
ADVINDO	ɐ d i v ĩ d u
ADVINDOS	ɐ d i v ĩ d u ʃ
ADVINHA	ɐ d i v i ɲ ɐ
ADVINHAM	ɐ d i v i ɲ ɐ̃ w
ADVIR	ɐ d i v i ɾ
ADVIRIAM	ɐ d i v i ɾ i ɐ̃ w
ADVIRTA	ɐ d i v i ɾ t ɐ
ADVIRTO	ɐ d i v i ɾ t u
ADVIRÃO	ɐ d i v i ɾ ɐ̃ w
ADVOCACIA	ɐ d i v o k ɐ s i ɐ
ADVOCACIAS	ɐ d i v o k ɐ s i ɐ ʃ
ADVOGA	ɐ d i v ɔ ɡ ɐ
ADVOGADA	ɐ d i v o ɡ ɐ d ɐ
ADVOGADAS	ɐ d i v o ɡ ɐ d ɐ ʃ
ADVOGADO	ɐ d i v o ɡ ɐ d u
ADVOGADOS	ɐ d i v o ɡ ɐ d u ʃ
ADVOGAM	ɐ d i v ɔ ɡ ɐ̃ w
ADVOGAMOS	ɐ d i v o ɡ ɐ m u ʃ
ADVOGANDO	ɐ d i v o ɡ ɐ̃ d u
ADVOGAR	ɐ d i v o ɡ ɐ ɾ
ADVOGASSE	ɐ d i v o ɡ ɐ s i
ADVOGAVA	ɐ d i v o ɡ ɐ v ɐ
ADVOGAVAS	ɐ d i v o ɡ ɐ v ɐ ʃ
ADVOGO	ɐ d i v ɔ ɡ u
ADVOGOU	ɐ d i v o ɡ o w
ADVOGUE	ɐ d i v ɔ ɡ i
ADVOGUEI	ɐ d i v o ɡ e j
ADVÉM	ɐ d i v ẽ
ADVÉRBIO	ɐ d i v ɛ ɾ b i u
ADVÉRBIOS	ɐ d i v ɛ ɾ b i u ʃ
ADVÊM	ɐ d i v ẽ
ADÍLIO	ɐ d i l i u
ADÍLSON	ɐ d i w s õ
AEDES	ɐ ɛ d i ʃ
AEGYPTI	ɐ e ɡ i p i t i
AERODINÂMICA	ɐ e ɾ o d i n ɐ m i k ɐ
AERODINÂMICAS	ɐ e ɾ o d i n ɐ m i k ɐ ʃ
AERODINÂMICO	ɐ e ɾ o d i n ɐ m i k u
AERODINÂMICOS	ɐ e ɾ o d i n ɐ m i k u ʃ
AERONAVAL	ɐ e ɾ o n ɐ v ɐ l
AERONÁUTICA	ɐ e ɾ o n ɐ w t i k ɐ
AERONÁUTICAS	ɐ e ɾ o n ɐ w t i k ɐ ʃ
AERONÁUTICO	ɐ e ɾ o n ɐ w t i k u
AERONÁUTICOS	ɐ e ɾ o n ɐ w t i k u ʃ
AEROPORTOS	ɐ e ɾ o p o ɾ t u s
AEROSOL	ɐ e ɾ o z ɔ l
AEROSSOL	ɐ e ɾ o s ɔ l
AEROTÁTICO	ɐ e ɾ o t ɐ t i k u
AFABILIDADE	ɐ f ɐ b i l i d ɐ d i
AFABILIDADES	ɐ f ɐ b i l i d ɐ d i ʃ
AFADIGA	ɐ f ɐ d i ɡ ɐ
AFADIGADO	ɐ f ɐ d i ɡ ɐ d u
AFADIGAM	ɐ f ɐ d i ɡ ɐ̃ w
AFANOSAMENTE	ɐ f ɐ n ɔ z ɐ m ẽ t i
AFAVELMENTE	ɐ f ɐ v ɛ w m ẽ t i
AFECTIVO	ɐ f e k i t i v u
AFERENTE	ɐ f e ɾ ẽ t i
AFERENTES	ɐ f e ɾ ẽ t i ʃ
AFETA	ɐ f ɛ t ɐ
AFETADAMENTE	ɐ f e t ɐ d ɐ m ẽ t i
AFETE	ɐ f ɛ t i
AFETIVA	ɐ f e t i v ɐ
AFETIVAS	ɐ f e t i v ɐ ʃ
AFETIVIDADE	ɐ f e t i v i d ɐ d i
AFETIVO	ɐ f e t i v u
AFETIVOS	ɐ f e t i v u ʃ
AFETO	ɐ f ɛ t u
AFETOS	ɐ f ɛ t u s
AFETUOSAMENTE	ɐ f e t w ɔ z ɐ m ẽ t i
AFETÁVEL	ɐ f e t ɐ v ɛ l
AFIADÍSSIMO	ɐ f i ɐ d i s i m u
AFIADÍSSIMOS	ɐ f i ɐ d i s i m u ʃ
AFINADÍSSIMO	ɐ f i n ɐ d i s i m u
AFINAL	ɐ f i n ɐ l
AFINIDADE	ɐ f i n i d ɐ d i
AFINIDADES	ɐ f i n i d ɐ d i ʃ
AFIRMATIVA	ɐ f i ɾ m ɐ t i v ɐ
AFIRMATIVAMENTE	ɐ f i ɾ m ɐ t i v ɐ m ẽ t i
AFIRMATIVAS	ɐ f i ɾ m ɐ t i v ɐ ʃ
AFIRMATIVO	ɐ f i ɾ m ɐ t i v u
AFIRMATIVOS	ɐ f i ɾ m ɐ t i v u ʃ
AFLIGENTE	ɐ f l i ʒ ẽ t i
AFLITIVA	ɐ f l i t i v ɐ
AFLITIVAS	ɐ f l i t i v ɐ ʃ
AFLITIVO	ɐ f l i t i v u
AFLITIVOS	ɐ f l i t i v u ʃ
AFLORA	ɐ f l ɔ ɾ ɐ
AFLUENTE	ɐ f l w ẽ t i
AFLUENTES	ɐ f l w ẽ t i ʃ
AFOGADILHO	ɐ f o ɡ ɐ d i ʎ u
AFOITE	ɐ f o j t i
AFP	ɐ ɛ f i p e
AFRODESCENDENTE	ɐ f ɾ o d e s ẽ d ẽ t i
AFRODINA	ɐ f ɾ o d i n ɐ
AFRODISÍACA	ɐ f ɾ o d i z i ɐ k ɐ
AFRODISÍACAS	ɐ f ɾ o d i z i ɐ k ɐ ʃ
AFRODISÍACO	ɐ f ɾ o d i z i ɐ k u
AFRODISÍACOS	ɐ f ɾ o d i z i ɐ k u ʃ
AFRODITA	ɐ f ɾ o d i t ɐ
AFRODITE	ɐ f ɾ o d i t i
AFRONTE	ɐ f ɾ õ t i
AFUNDE	ɐ f ũ d i
AFÁVEL	ɐ f ɐ v ɛ l
AGARRADINHO	ɐ ɡ ɐ ʁ ɐ d i ɲ u
AGASALHA-TE	ɐ ɡ ɐ z ɐ ʎ ɐ t i
AGENDE	ɐ ʒ ẽ d i
AGENDINHA	ɐ ʒ ẽ d i ɲ ɐ
AGENTE	ɐ ʒ ẽ t i
AGENTES	ɐ ʒ ẽ t i ʃ
AGILIDADE	ɐ ʒ i l i d ɐ d i
AGITADÍSSIMA	ɐ ʒ i t ɐ d i s i m ɐ
AGITADÍSSIMO	ɐ ʒ i t ɐ d i s i m u
AGITE	ɐ ʒ i t i
AGLOMERANTE	ɐ ɡ l o m e ɾ ɐ̃ t i
AGLUTINA	ɐ ɡ l u t i n ɐ
AGLUTINADAS	ɐ ɡ l u t i n ɐ d ɐ ʃ
AGLUTINADO	ɐ ɡ l u t i n ɐ d u
AGLUTINAM	ɐ ɡ l u t i n ɐ̃ w
AGLUTINANDO	ɐ ɡ l u t i n ɐ̃ d u
AGLUTINANTE	ɐ ɡ l u t i n ɐ̃ t i
AGLUTINAR	ɐ ɡ l u t i n ɐ ɾ
AGLUTINARAM	ɐ ɡ l u t i n ɐ ɾ ɐ̃ w
AGLUTINATIVA	ɐ ɡ l u t i n ɐ t i v ɐ
AGLUTINAÇÃO	ɐ ɡ l u t i n ɐ s ɐ̃ w
AGLUTINAÇÕES	ɐ ɡ l u t i n ɐ s õ j ʃ
AGLUTINE	ɐ ɡ l u t i n i
AGLUTINEM	ɐ ɡ l u t i n ẽ
AGLUTINOU	ɐ ɡ l u t i n o w
AGONAL	ɐ ɡ o n ɐ l
AGONIANTE	ɐ ɡ o n i ɐ̃ t i
AGONIZANTE	ɐ ɡ o n i z ɐ̃ t i
AGONIZANTES	ɐ ɡ o n i z ɐ̃ t i ʃ
AGORA	ɐ ɡ ɔ ɾ ɐ
AGOSTO	ɐ ɡ o s t u
AGOSTOS	ɐ ɡ o s t u s
AGRADABILIDADE	ɐ ɡ ɾ ɐ d ɐ b i l i d ɐ d i
AGRADAVELMENTE	ɐ ɡ ɾ ɐ d ɐ v ɛ w m ẽ t i
AGRADE	ɐ ɡ ɾ ɐ d i
AGRADECIDAMENTE	ɐ ɡ ɾ ɐ d e s i d ɐ m ẽ t i
AGRADEÇA	ɐ ɡ ɾ ɐ d e s ɐ
AGRADEÇAM	ɐ ɡ ɾ ɐ d e s ɐ̃ w
AGRADEÇO	ɐ ɡ ɾ ɐ d e s u
AGRADÁVEL	ɐ ɡ ɾ ɐ d ɐ v ɛ l
AGRAVANTE	ɐ ɡ ɾ ɐ v ɐ̃ t i
AGRAVANTES	ɐ ɡ ɾ ɐ v ɐ̃ t i ʃ
AGREDI	ɐ ɡ ɾ e d i
AGREDIA	ɐ ɡ ɾ e d i ɐ
AGREDIAM	ɐ ɡ ɾ e d i ɐ̃ w
AGREDIAS	ɐ ɡ ɾ e d i ɐ ʃ
AGREDIDO	ɐ ɡ ɾ e d i d u
AGREDIMOS	ɐ ɡ ɾ e d i m u ʃ
AGREDINDO	ɐ ɡ ɾ e d ĩ d u
AGREDIR	ɐ ɡ ɾ e d i ɾ
AGREDIRAM	ɐ ɡ ɾ e d i ɾ ɐ̃ w
AGREDIRIA	ɐ ɡ ɾ e d i ɾ i ɐ
AGREDIRMOS	ɐ ɡ ɾ e d i ɾ m u ʃ
AGREDISSE	ɐ ɡ ɾ e d i s i
AGREDIU	ɐ ɡ ɾ e d i w
AGREGATIVA	ɐ ɡ ɾ e ɡ ɐ t i v ɐ
AGRESSIVAMENTE	ɐ ɡ ɾ e s i v ɐ m ẽ t i
AGRESSIVIDADE	ɐ ɡ ɾ e s i v i d ɐ d i
AGRESTE	ɐ ɡ ɾ ɛ s tʃ i
AGRESTES	ɐ ɡ ɾ ɛ s tʃ i s
AGRICOLÂNDIA	ɐ ɡ ɾ i k o l ɐ̃ d i ɐ
AGRICULTURAL	ɐ ɡ ɾ i k u w t u ɾ ɐ l
AGRICULTURÁVEL	ɐ ɡ ɾ i k u w t u ɾ ɐ v ɛ l
AGRICULTÁVEL	ɐ ɡ ɾ i k u w t ɐ v ɛ l
AGRIDE	ɐ ɡ ɾ i d i
AGROAMBIENTAL	ɐ ɡ ɾ o ɐ̃ b i ẽ t ɐ l
AGROLÂNDIA	ɐ ɡ ɾ o l ɐ̃ d i ɐ
AGUADILHA	ɐ ɡ w ɐ d i ʎ ɐ
AGUANIL	ɐ ɡ w ɐ n i l
AGUARDE	ɐ ɡ w ɐ ɾ d i
AGUARDENTE	ɐ ɡ w ɐ ɾ d ẽ t i
AGUARDENTES	ɐ ɡ w ɐ ɾ d ẽ t i ʃ
AGUDIZA	ɐ ɡ u d i z ɐ
AGUDIZADO	ɐ ɡ u d i z ɐ d u
AGUDIZANDO	ɐ ɡ u d i z ɐ̃ d u
AGUDIZAR	ɐ ɡ u d i z ɐ ɾ
AGUDIZAÇÃO	ɐ ɡ u d i z ɐ s ɐ̃ w
AGUDIZOU	ɐ ɡ u d i z o w
AGUDÍSSIMA	ɐ ɡ u d i s i m ɐ
AGUDÍSSIMAS	ɐ ɡ u d i s i m ɐ ʃ
AGUENTE	ɐ ɡ ẽ t i
AGUTI	ɐ ɡ u t i
AGUÇADÍSSIMA	ɐ ɡ u s ɐ d i s i m ɐ
AGUÇADÍSSIMOS	ɐ ɡ u s ɐ d i s i m u ʃ
AI	ɐ i
AIDS	ɐ j d i ʃ
AIDÉTICOS	ɐ j d ɛ t i k u ʃ
AIEA	ɐ i ɛ ɐ
AIROSAMENTE	ɐ j ɾ ɔ z ɐ m ẽ t i
AJARDINADO	ɐ ʒ ɐ ɾ d i n ɐ d u
AJARDINAMENTO	ɐ ʒ ɐ ɾ d i n ɐ m ẽ t u
AJEITE	ɐ ʒ e j t i
AJUDANTE	ɐ ʒ u d ɐ̃ t i
AJUDANTES	ɐ ʒ u d ɐ̃ t i ʃ
AJUDE	ɐ ʒ u d i
AJUDES	ɐ ʒ u d i ʃ
AJUDINHA	ɐ ʒ u d i ɲ ɐ
AJUNTARDES	ɐ ʒ ũ t ɐ ɾ d i ʃ
AJUNTE	ɐ ʒ ũ t i
ALACRIDADE	ɐ l ɐ k ɾ i d ɐ d i
ALADI	ɐ l ɐ d i
ALADIM	ɐ l ɐ d ĩ
ALADINO	ɐ l ɐ d i n u
ALAGADIÇA	ɐ l ɐ ɡ ɐ d i s ɐ
ALAGADIÇO	ɐ l ɐ ɡ ɐ d i s u
ALAGADIÇOS	ɐ l ɐ ɡ ɐ d i s u ʃ
ALANDROAL	ɐ l ɐ̃ d ɾ o ɐ l
ALARDE	ɐ l ɐ ɾ d i
ALARMANTE	ɐ l ɐ ɾ m ɐ̃ t i
ALARMANTES	ɐ l ɐ ɾ m ɐ̃ t i ʃ
