ㄱ	k i jʌ k
가운데에서	k a u n d e e s ʌ
가운데에서도	k a u n d e e s ʌ d o
가운데이	k a u n d e i
가운데정렬	k a u n d e ʣ ʌ ŋ n jʌ l
가운을	gg a u n ɯ l
가위	k a wi
가위가	k a wi g a
가위로	k a wi r o
가위를	k a wi r ɯ l
가위바위보	k a wi b a wi b o
가위에	k a wi e
가은	k a ɯ n
가을	k a ɯ l
가을과	k a ɯ l g wa
가을로	k a ɯ l l o
가을비	k a ɯ l bb i
가을빛	k a ɯ l bb i t
가을에	k a ɯ r e
가을에는	k a ɯ r e n ɯ n
가을은	k a ɯ r ɯ n
가을을	k a ɯ r ɯ l
가을의	k a ɯ r e
가을이	k a ɯ r i
가을이나	k a ɯ r i n a
가음	k a ɯ m
가의	k a e
가의도	k a ɯi d o
가이	k a i
가이가	k a i g a
가이거	k a i g ʌ
가이드	k a i d ɯ
가이드가	k a i d ɯ g a
가이드라인	k a i d ɯ r a i n
가이드라인을	k a i d ɯ r a i n ɯ l
가이드라인이	k a i d ɯ r a i n i
가이드를	k a i d ɯ r ɯ l
가이드에	k a i d ɯ e
가이사랴	k a i s a r ja
가이아	k a i a
가인	k a i n
가인과	k a i n g wa
가인에게	k a i n e g e
가인은	k a i n ɯ n
가인을	k a i n ɯ l
가인의	k a i n e
가인이	k a i n i
가임	k a i m
가입	k a i p
가입되어	k a i p dd ø ʌ
가입은	k a i b ɯ n
가입을	k a i b ɯ l
가입이	k a i b i
가입자	k a i p ʨʨ a
가입하고	k a i pʰ a g o
가입하는	k a i pʰ a n ɯ n
가입하면	k a i pʰ a m jʌ n
가입하시면	k a i pʰ a s i m jʌ n
가입하신	k a i pʰ a s i n
가입하였고	k a i pʰ a jʌ t gg o
가입하지	k a i pʰ a ʣ i
가입한	k a i pʰ a n
가입할	k a i pʰ a l
가입해	k a i pʰ ɛ
가입해서	k a i pʰ e s ʌ
가입해야	k a i pʰ e ja
가있다	k a i t dd a
가자	k a ʣ a
가자고	k a ʣ a g o
가자는	k a ʣ a n ɯ n
가자마자	k a ʣ a m a ʣ a
가자미	k a ʣ a m i
가작	k a ʣ a k
가잖아	k a ʣ a n a
가잖아요	k a ʣ a n a jo
가장	k a ʣ a ŋ
가장을	k a ʣ a ŋ ɯ l
가장의	k a ʣ a ŋ e
가장이	k a ʣ a ŋ i
가장자리	k a ʣ a ŋ ʣ a r i
가장자리가	k a ʣ a ŋ ʣ a r i g a
가장자리를	k a ʣ a ŋ ʣ a r i r ɯ l
가장자리에	k a ʣ a ŋ ʣ a r i e
가장한	k a ʣ a ŋ x a n
가재	k a ʣ ɛ
가전	k a ʣ ʌ n
가전제품	k a ʣ ʌ n ʣ e pʰ u m
가점	k a ʣ ʌ m
가정	k a ʣ ʌ ŋ
가정과	k a ʣ ʌ ŋ g wa
가정도	k a ʣ ʌ ŋ d o
가정들이	k a ʣ ʌ ŋ d ɯ r i
가정마다	k a ʣ ʌ ŋ m a d a
가정법	k a ʣ ʌ ŋ bb ʌ p
가정에	k a ʣ ʌ ŋ e
가정에는	k a ʣ ʌ ŋ e n ɯ n
가정에도	k a ʣ ʌ ŋ e d o
가정에서	k a ʣ ʌ ŋ e s ʌ
가정에서는	k a ʣ ʌ ŋ e s ʌ n ɯ n
가정에서도	k a ʣ ʌ ŋ e s ʌ d o
가정용	k a ʣ ʌ ŋ n jo ŋ
가정으로	k a ʣ ʌ ŋ ɯ r o
가정은	k a ʣ ʌ ŋ ɯ n
가정을	k a ʣ ʌ ŋ ɯ l
가정의	k a ʣ ʌ ŋ e
가정의학과	k a ʣ ʌ ŋ ɯi x a k gg wa
가정이	k a ʣ ʌ ŋ i
가정이나	k a ʣ ʌ ŋ i n a
가정적으로	k a ʣ ʌ ŋ ʣ ʌ g ɯ r o
가정집	k a ʣ ʌ ŋ ʨʨ i p
가정하고	k a ʣ ʌ ŋ x a g o
가정하면	k a ʣ ʌ ŋ x a m jʌ n
가정하에	k a ʣ ʌ ŋ x a e
가정한	k a ʣ ʌ ŋ x a n
가정할	k a ʣ ʌ ŋ x a l
가정해	k a ʣ ʌ ŋ x e
가정해서	k a ʣ ʌ ŋ x e s ʌ
가정했을	k a ʣ ʌ ŋ x e ss ɯ l
가제	k a ʣ e
가져	k a ʣ jʌ
가져가	k a ʣ jʌ g a
가져가게	k a ʣ jʌ g a g e
가져가고	k a ʣ jʌ g a g o
가져가는	k a ʣ jʌ g a n ɯ n
가져가는게	k a ʣ jʌ g a n ɯ n g e
가져가도	k a ʣ jʌ g a d o
가져가라고	k a ʣ jʌ g a r a g o
가져가려고	k a ʣ jʌ g a r jʌ g o
가져가면	k a ʣ jʌ g a m jʌ n
가져가면서	k a ʣ jʌ g a m jʌ n s ʌ
가져가서	k a ʣ jʌ g a s ʌ
가져가세요	k a ʣ jʌ g a s e jo
가져가시고	k a ʣ jʌ g a s i g o
가져가시는	k a ʣ jʌ g a s i n ɯ n
가져가시면	k a ʣ jʌ g a s i m jʌ n
가져가실	k a ʣ jʌ g a s i l
가져가야	k a ʣ jʌ g a ja
가져가요	k a ʣ jʌ g a jo
가져가자	k a ʣ jʌ g a ʣ a
가져가지	k a ʣ jʌ g a ʣ i
가져간	k a ʣ jʌ g a n
가져간다	k a ʣ jʌ g a n d a
가져갈	k a ʣ jʌ g a l
가져갑니다	k a ʣ jʌ g a m n i d a
가져갔습니다	k a ʣ jʌ g a t ss ɯ m n i d a
가져갔어요	k a ʣ jʌ g a ss ʌ jo
가져다	k a ʣ jʌ d a
가져다가	k a ʣ jʌ d a g a
가져도	k a ʣ jʌ d o
가져라	k a ʣ jʌ r a
가져보겠습니다	k a ʣ jʌ b o g e t ss ɯ m n i d a
가져보는	k a ʣ jʌ b o n ɯ n
가져보도록	k a ʣ jʌ b o d o r o k
가져보려고	k a ʣ jʌ b o r jʌ g o
가져보세요	k a ʣ jʌ b o s e jo
가져볼	k a ʣ jʌ b o l
가져서	k a ʣ jʌ s ʌ
가져야	k a ʣ jʌ ja
가져야지	k a ʣ jʌ ja ʣ i
가져오게	k a ʣ jʌ o g e
가져오겠습니다	k a ʣ jʌ o g e t ss ɯ m n i d a
가져오고	k a ʣ jʌ o g o
가져오기	k a ʣ jʌ o g i
가져오기를	k a ʣ jʌ o g i r ɯ l
가져오는	k a ʣ jʌ o n ɯ n
가져오는데	k a ʣ jʌ o n ɯ n d e
가져오도록	k a ʣ jʌ o d o r o k
가져오라고	k a ʣ jʌ o r a g o
가져오려고	k a ʣ jʌ o r jʌ g o
가져오면	k a ʣ jʌ o m jʌ n
가져오면서	k a ʣ jʌ o m jʌ n s ʌ
가져오세요	k a ʣ jʌ o s e jo
가져오시면	k a ʣ jʌ o s i m jʌ n
가져오신	k a ʣ jʌ o s i n
가져오지	k a ʣ jʌ o ʣ i
가져온	k a ʣ jʌ o n
가져온다	k a ʣ jʌ o n d a
가져온다는	k a ʣ jʌ o n d a n ɯ n
가져올	k a ʣ jʌ o l
가져올게요	k a ʣ jʌ o l g e jo
가져옴	k a ʣ jʌ o m
가져옵니다	k a ʣ jʌ o m n i d a
가져와	k a ʣ jʌ wa
가져와도	k a ʣ jʌ wa d o
가져와라	k a ʣ jʌ wa r a
가져와봤어요	k a ʣ jʌ wa b wa ss ʌ jo
가져와서	k a ʣ jʌ wa s ʌ
가져와야	k a ʣ jʌ wa ja
가져와요	k a ʣ jʌ wa jo
가져왔고	k a ʣ jʌ wa t gg o
가져왔는데	k a ʣ jʌ wa n n ɯ n d e
가져왔는데요	k a ʣ jʌ wa n n ɯ n d e jo
가져왔다	k a ʣ jʌ wa t dd a
가져왔던	k a ʣ jʌ wa t dd ʌ n
가져왔습니다	k a ʣ jʌ wa t ss ɯ m n i d a
가져왔어	k a ʣ jʌ wa ss ʌ
가져왔어요	k a ʣ jʌ wa ss ʌ jo
가져왔을	k a ʣ jʌ wa ss ɯ l
가져요	k a ʣ jʌ jo
가져주시고	k a ʣ jʌ ʣ u s i g o
가졌고	k a ʣ jʌ t gg o
가졌구요	k a ʣ jʌ t gg u jo
가졌기	k a ʣ jʌ t gg i
가졌는데	k a ʣ jʌ n n ɯ n d e
가졌는지	k a ʣ jʌ n n ɯ n ʣ i
가졌다	k a ʣ jʌ t dd a
가졌다고	k a ʣ jʌ t dd a g o
가졌다는	k a ʣ jʌ t dd a n ɯ n
가졌다면	k a ʣ jʌ t dd a m jʌ n
가졌던	k a ʣ jʌ t dd ʌ n
가졌습니다	k a ʣ jʌ t ss ɯ m n i d a
가졌어	k a ʣ jʌ ss ʌ
가졌어요	k a ʣ jʌ ss ʌ jo
가졌으니까	k a ʣ jʌ ss ɯ n i gg a
가졌으면	k a ʣ jʌ ss ɯ m jʌ n
가졌을	k a ʣ jʌ ss ɯ l
가졌잖아	k a ʣ jʌ t ʨ a n a
가졌죠	k a ʣ jʌ t ʨ jo
가졌지	k a ʣ jʌ t ʨʨ i
가졌지만	k a ʣ jʌ t ʨ i m a n
가조	k a ʣ o
가족	k a ʣ o k
가족과	k a ʣ o k gg wa
가족관계	k a ʣ o k g wa n g je
가족까지	k a ʣ o k gg a ʣ i
가족끼리	k a ʣ o k gg i r i
가족도	k a ʣ o k dd o
가족들	k a ʣ o k dd ɯ l
가족들과	k a ʣ o k dd ɯ l g wa
가족들도	k a ʣ o k dd ɯ l d o
가족들에게	k a ʣ o k dd ɯ r e g e
가족들에게도	k a ʣ o k dd ɯ r e g e d o
가족들은	k a ʣ o k dd ɯ r ɯ n
가족들을	k a ʣ o k dd ɯ r ɯ l
가족들의	k a ʣ o k dd ɯ r e
가족들이	k a ʣ o k dd ɯ r i
가족들이랑	k a ʣ o k dd ɯ r i r a ŋ
가족들하고	k a ʣ o k dd ɯ l x a g o
가족들한테	k a ʣ o k dd ɯ r x a n tʰ e
가족에	k a ʣ o g e
가족에게	k a ʣ o g e g e
가족으로	k a ʣ o g ɯ r o
가족은	k a ʣ o g ɯ n
가족을	k a ʣ o g ɯ l
가족의	k a ʣ o g e
가족이	k a ʣ o g i
가족이나	k a ʣ o g i n a
가족이라고	k a ʣ o g i r a g o
가족이라는	k a ʣ o g i r a n ɯ n
가족처럼	k a ʣ o k ʨʰ ʌ r ʌ m
가족한테	k a ʣ o kʰ a n tʰ e
가죠	k a ʣ jo
가주	k a ʣ u
가주고	k a ʣ u g o
가주세요	k a ʣ u s e jo
가죽	k a ʣ u k
가죽에	k a ʣ u g e
가죽으로	k a ʣ u g ɯ r o
가죽은	k a ʣ u g ɯ n
가죽을	k a ʣ u g ɯ l
가죽의	k a ʣ u g e
가죽이	k a ʣ u g i
가죽잠바	k a ʣ u k ʣ a m b a
가줍니다	k a ʣ u m n i d a
가중	k a ʣ u ŋ
가중평균	k a ʣ u ŋ pʰ jʌ ŋ g ju n
가증한	k a ʣ ɯ ŋ x a n
가지	k a ʣ i
가지가	k a ʣ i g a
가지가지	k a ʣ i g a ʣ i
가지게	k a ʣ i g e
가지겠습니다	k a ʣ i g e t ss ɯ m n i d a
가지고	k a ʣ i g o
가지고는	k a ʣ i g o n ɯ n
가지고도	k a ʣ i g o d o
가지고만	k a ʣ i g o m a n
가지고서	k a ʣ i g o s ʌ
가지고서는	k a ʣ i g o s ʌ n ɯ n
가지고요	k a ʣ i g o jo
가지고이	k a ʣ i g o i
가지고자	k a ʣ i g o ʣ a
가지곤	k a ʣ i g o n
가지구	k a ʣ i g u
가지기	k a ʣ i g i
가지나	k a ʣ i n a
가지는	k a ʣ i n ɯ n
가지는게	k a ʣ i n ɯ n g e
가지는데	k a ʣ i n ɯ n d e
가지니까	k a ʣ i n i gg a
가지다	k a ʣ i d a
가지도	k a ʣ i d o
가지도록	k a ʣ i d o r o k
가지들을	k a ʣ i d ɯ r ɯ l
가지들이	k a ʣ i d ɯ r i
가지라	k a ʣ i r a
가지라고	k a ʣ i r a g o
가지라는	k a ʣ i r a n ɯ n
가지러	k a ʣ i r ʌ
가지런히	k a ʣ i r ʌ n x i
가지려고	k a ʣ i r jʌ g o
가지려면	k a ʣ i r jʌ m jʌ n
가지로	k a ʣ i r o
가지를	k a ʣ i r ɯ l
가지마	k a ʣ i m a
가지마라	k a ʣ i m a r a
가지만	k a ʣ i m a n
가지만은	k a ʣ i m a n ɯ n
가지며	k a ʣ i m jʌ
가지면	k a ʣ i m jʌ n
가지면서	k a ʣ i m jʌ n s ʌ
가지밖에	k a ʣ i b a gg e
가지세요	k a ʣ i s e jo
가지셔야	k a ʣ i s jʌ ja
가지시고	k a ʣ i s i g o
가지시는	k a ʣ i s i n ɯ n
가지시면	k a ʣ i s i m jʌ n
가지신	k a ʣ i s i n
가지실	k a ʣ i s i l
가지야	k a ʣ i ja
가지에	k a ʣ i e
가지에서	k a ʣ i e s ʌ
가지예요	k a ʣ i je jo
가지와	k a ʣ i wa
가지요	k a ʣ i jo
가지의	k a ʣ i e
가지인데	k a ʣ i i n d e
가지입니다	k a ʣ i i m n i d a
가지죠	k a ʣ i ʣ jo
가지지	k a ʣ i ʣ i
가진	k a ʣ i n
가진게	k a ʣ i n g e
가진다	k a ʣ i n d a
가진다고	k a ʣ i n d a g o
가진다는	k a ʣ i n d a n ɯ n
가질	k a ʣ i l
가질까	k a ʣ i l gg a
가짐	k a ʣ i m
가집니다	k a ʣ i m n i d a
가짜	k a ʨʨ a
가짜가	k a ʨ a g a
가짜니까	k a ʨ a n i gg a
가짜다	k a ʨʨ a d a
가짜라고	k a ʨʨ a r a g o
가짜로	k a ʨ a r o
가짜를	k a ʨʨ a r ɯ l
가짜야	k a ʨʨ a ja
가짜인지	k a ʨʨ a i n ʣ i
가짜입니다	k a ʨ a i m n i d a
가차없이	k a ʨʰ a ʌ p ss i
가창	k a ʨʰ a ŋ
가채점	k a ʨʰ ɛ ʨʨ ʌ m
가책을	k a ʨʰ ɛ g ɯ l
가챠	k a ʨʰ ja
가처분	k a ʨʰ ʌ b u n
가처분을	k a ʨʰ ʌ b u n ɯ l
가체결합니다	k a ʨʰ e g jʌ r x a m n i d a
가축	k a ʨʰ u k
가축분퇴비	k a ʨʰ u k bb u n tʰ ø b i
가축을	k a ʨʰ u g ɯ l
가출	k a ʨʰ u l
가치	k a ʨʰ i
가치가	k a ʨʰ i g a
가치관	k a ʨʰ i g wa n
가치관과	k a ʨʰ i g wa n g wa
가치관에	k a ʨʰ i g wa n e
가치관을	k a ʨʰ i g wa n ɯ l
가치관이	k a ʨʰ i g wa n i
가치나	k a ʨʰ i n a
가치는	k a ʨʰ i n ɯ n
가치도	k a ʨʰ i d o
가치들을	k a ʨʰ i d ɯ r ɯ l
가치라고	k a ʨʰ i r a g o
가치로	k a ʨʰ i r o
가치를	k a ʨʰ i r ɯ l
가치에	k a ʨʰ i e
가치와	k a ʨʰ i wa
가치의	k a ʨʰ i e
가치입니다	k a ʨʰ i i m n i d a
가치있게	k a ʨʰ i i t gg e
가칭	k a ʨʰ i ŋ
가캐	k a kʰ e
가케	k a kʰ e
가터	k a tʰ ʌ
가토	k a tʰ o
가톨릭	k a tʰ o l l i k
가트너	k a tʰ ɯ n ʌ
가파르게	k a pʰ a r ɯ g e
가파른	k a pʰ a r ɯ n
가판	k a pʰ a n
가평	k a pʰ jʌ ŋ
가품	k a pʰ u m
가프	k a pʰ ɯ
가피	k a pʰ i
가피를	k a pʰ i r ɯ l
가하고	k a x a g o
가하는	k a x a n ɯ n
가하면	k a x a m jʌ n
가한	k a x a n
가할	k a x a l
가해	k a x ɛ
가해서	k a x ɛ s ʌ
가해야	k a x ɛ ja
가해자	k a x ɛ ʣ a
가해자가	k a x ɛ ʣ a g a
가해자는	k a x ɛ ʣ a n ɯ n
가해자로	k a x ɛ ʣ a r o
가해자를	k a x e ʣ a r ɯ l
가해자의	k a x ɛ ʣ a i
가해자인	k a x e ʣ a i n
가해지는	k a x ɛ ʣ i n ɯ n
가해진	k a x e ʣ i n
가호가	k a x o g a
가혹하게	k a x o kʰ a g e
가혹한	k a x o kʰ a n
가화만사성	k a x wa m a n s a s ʌ ŋ
가희	k a x i
가히	k a x i
각	k a k
각가지	k a k gg a ʣ i
각각	k a k gg a k
각각에	k a k gg a g e
각각을	k a k gg a g ɯ l
각각의	k a k gg a g i
각각이	k a k gg a g i
각계	k a k gg je
각과	k a k gg wa
각광을	k a k gg wa ŋ ɯ l
각국	k a k gg u k
각국에	k a k gg u g e
각국의	k a k gg u g e
각권	k a k gg wʌ n
각기	k a k gg i
각기병	k a k gg i bb jʌ ŋ
각도	k a k dd o
각도가	k a k dd o g a
각도는	k a k dd o n ɯ n
각도도	k a k dd o d o
각도로	k a k dd o r o
각도를	k a k dd o r ɯ l
각도에	k a k dd o e
각도에서	k a k dd o e s ʌ
각도와	k a k dd o wa
각도의	k a k dd o i
각목	k a ŋ m o k
각방	k a k bb a ŋ
각별한	k a k bb jʌ l x a n
각별히	k a k bb jʌ l x i
각본	k a k bb o n
각본을	k a k bb o n ɯ l
각색	k a k ss ɛ k
각서	k a k ss ʌ
각서를	k a k ss ʌ r ɯ l
각성	k a k ss ʌ ŋ
각성을	k a k ss ʌ ŋ ɯ l
각성이	k a k ss ʌ ŋ i
각성한	k a k ss ʌ ŋ x a n
각시	k a k ss i
각오	k a g o
각오가	k a g o g a
각오로	k a g o r o
각오를	k a g o r ɯ l
각오하고	k a g o x a g o
각으로	k a g ɯ r o
각은	k a g ɯ n
각을	k a g ɯ l
각의	k a g i
각이	k a g i
각인	k a g i n
각인을	k a g i n ɯ l
각인이	k a g i n i
각자	k a k ʨʨ a
각자가	k a k ʨʨ a g a
각자는	k a k ʨʨ a n ɯ n
각자에게	k a k ʨʨ a e g e
각자의	k a k ʨ a i
각장	k a k ʨʨ a ŋ
각조	k a k ʨʨ o
각종	k a k ʨʨ o ŋ
각주	k a k ʨʨ u
각지	k a k ʨʨ i
각지에	k a k ʨʨ i e
각지에서	k a k ʨʨ i e s ʌ
각지의	k a k ʨʨ i e
각진	k a k ʨ i n
각질	k a k ʨʨ i l
각질을	k a k ʨ i r ɯ l
각질이	k a k ʨ i r i
각티슈	k a k tʰ i ss ju
각하	k a kʰ a
각하게	k a kʰ a g e
각해서	k a kʰ ɛ s ʌ
각형	k a kʰ jʌ ŋ
각호	k a kʰ o
각호의	k a kʰ o i
간	k a n
간간히	k a n g a n x i
간거	k a n g ʌ
간건	k a n g ʌ n
간게	k a n g e
간격	k a n g jʌ k
간격도	k a n g jʌ k dd o
간격에	k a n g jʌ g e
간격으로	k a n g jʌ g ɯ r o
간격은	k a n g jʌ g ɯ n
간격을	k a n g jʌ g ɯ l
간격이	k a n g jʌ g i
간결	k a n g jʌ l
간결성	k a n g jʌ l s ʌ ŋ
간결하게	k a n g jʌ r x a g e
간결한	k a n g jʌ l x a n
간경화	k a n g jʌ ŋ x wa
간곡한	k a n g o kʰ a n
간곡히	k a n g o kʰ i
간과	k a n g wa
간구	k a n g u
간구를	k a n g u r ɯ l
간구하고	k a n g u x a g o
간구하는	k a n g u x a n ɯ n
간구할	k a n g u x a l
간구합니다	k a n g u x a m n i d a
간극이	k a n g ɯ g i
간다	k a n d a
간다거나	k a n d a g ʌ n a
간다고	k a n d a g o
간다는	k a n d a n ɯ n
간다는게	k a n d a n ɯ n g e
간다는데	k a n d a n ɯ n d e
간다니까	k a n d a n i gg a
간다던가	k a n d a d ʌ n g a
간다든지	k a n d a d ɯ n ʣ i
간다라고	k a n d a r a g o
간다라는	k a n d a r a n ɯ n
간다면	k a n d a m jʌ n
간단	k a n d a n
간단하게	k a n d a n x a g e
간단하고	k a n d a n x a g o
간단하니까	k a n d a n x a n i gg a
간단하다	k a n d a n x a d a
간단하죠	k a n d a n x a ʣ jo
간단하지	k a n d a n x a ʣ i
간단하지만	k a n d a n x a ʣ i m a n
간단한	k a n d a n x a n
간단한데	k a n d a n x a n d e
간단합니다	k a n d a n x a m n i d a
간단해	k a n d a n x e
간단해서	k a n d a n x ɛ s ʌ
간단해요	k a n d a n x ɛ jo
간단히	k a n d a n x i
간담회를	k a n d a m x ø r ɯ l
간대	k a n d ɛ
간대요	k a n d ɛ jo
간도	k a n d o
간략	k a l l ja k
간략하게	k a l l ja kʰ a g e
간략한	k a l l ja kʰ a n
간략히	k a l l ja k h i
간만	k a n m a n
간만에	k a n m a n e
간밤에	k a n b a m e
간병	k a n b jʌ ŋ
간보기	k a n b o g i
간부	k a n b u
간부들이	k a n b u d ɯ r i
간사	k a n s a
간사한	k a n s a x a n
간선	k a n s ʌ n
간섭	k a n s ʌ p
간섭을	k a n s ʌ b ɯ l
간섭이	k a n s ʌ b i
간섭적으로	k a n s ʌ p ʨ ʌ g ɯ r o
간섭하지	k a n s ʌ pʰ a ʣ i
간소화	k a n s o x wa
간수	k a n s u
간수가	k a n s u g a
간식	k a n s i k
간식도	k a n s i k dd o
간식으로	k a n s i g ɯ r o
간식은	k a n s i g ɯ n
간식을	k a n s i g ɯ l
간식이	k a n s i g i
간신히	k a n s i n x i
간암	k a n a m
간에	k a n e
간에는	k a n e n ɯ n
간에도	k a n e d o
간에서	k a n e s ʌ
간염	k a n jʌ m
간염과	k a n jʌ m g wa
간으로	k a n ɯ r o
간은	k a n ɯ n
간을	k a n ɯ l
간음	k a n ɯ m
간음을	k a n ɯ m ɯ l
간음죄	k a n ɯ m ʨʨ ø
간음하는	k a n ɯ m x a n ɯ n
간음하지	k a n ɯ m x a ʣ i
간음한	k a n ɯ m x a n
간의	k a n i
간이	k a n i
간이나	k a n i n a
간장	k a n ʣ a ŋ
간장게장	k a n ʣ a ŋ g e ʣ a ŋ
간장병	k a n ʣ a ŋ bb jʌ ŋ
간장양념	k a n ʣ a ŋ ja ŋ n jʌ m
간장에	k a n ʣ a ŋ e
간장을	k a n ʣ a ŋ ɯ l
간장이	k a n ʣ a ŋ i
간절	k a n ʣ ʌ l
간절하게	k a n ʣ ʌ l x a g e
간절하고	k a n ʣ ʌ l x a g o
간절한	k a n ʣ ʌ l x a n
간절함	k a n ʣ ʌ l x a m
간절함을	k a n ʣ ʌ l x a m ɯ l
간절함이	k a n ʣ ʌ l x a m i
간절해	k a n ʣ ʌ l x ɛ
간절히	k a n ʣ ʌ l x i
간접	k a n ʣ ʌ p
간접적으로	k a n ʣ ʌ p ʨʨ ʌ g ɯ r o
간접적인	k a n ʣ ʌ p ʨʨ ʌ g i n
간조	k a n ʣ o
간주	k a n ʣ u
간주되는	k a n ʣ u d we n ɯ n
간주될	k a n ʣ u d we l
간주하고	k a n ʣ u x a g o
간증	k a n ʣ ɯ ŋ
간증을	k a n ʣ ɯ ŋ ɯ l
간증이	k a n ʣ ɯ ŋ i
간지	k a n ʣ i
간지가	k a n ʣ i g a
간지러워	k a n ʣ i r ʌ wʌ
간직하고	k a n ʣ i kʰ a g o
간직한	k a n ʣ i kʰ a n
간질	k a n ʣ i l
간첩	k a n ʨʰ ʌ p
간첩이	k a n ʨʰ ʌ b i
간택	k a n tʰ ɛ k
간통	k a n tʰ o ŋ
간통죄	k a n tʰ o ŋ ʨʨ ø
간판	k a n pʰ a n
간판에	k a n pʰ a n e
간판을	k a n pʰ a n ɯ l
간판이	k a n pʰ a n i
간편	k a n pʰ jʌ n
간편성	k a n pʰ jʌ n s ʌ ŋ
간편하게	k a n pʰ jʌ n x a g e
간편하고	k a n pʰ jʌ n x a g o
간편한	k a n pʰ jʌ n x a n
간헐적으로	k a n x ʌ l ʣ ʌ g ɯ r o
간호	k a n x o
간호사	k a n x o s a
간호사가	k a n x o s a g a
간혹	k a n x o k
간혹가다	k a n x o k gg a d a
간혹가다가	k a n x o k gg a d a g a
갇혀	k a ʨʰ jʌ
갇혀서	k a tʰ jʌ s ʌ
갇히게	k a ʨʰ i g e
갇히고	k a ʨʰ i g o
갇히는	k a ʨʰ i n ɯ n
갇히지	k a ʨʰ i ʣ i
갇힌	k a ʨʰ i n
갈	k a l
갈갈이	k a l g a r i
갈거	k a l g ʌ
갈건데	k a l g ʌ n d e
갈겁니다	k a l g ʌ m n i d a
갈게	k a l g e
갈게요	k a l gg e jo
갈겨	k a l g jʌ
갈겨니	k a l g jʌ n i
갈고	k a l g o
갈고리	k a l g o r i
갈기	k a l g i
갈길	k a l g i l
갈길을	k a l g i r ɯ l
갈길이	k a l g i r i
갈까	k a l gg a
갈까요	k a l gg a jo
갈꺼예요	k a l gg ʌ je jo
갈대	k a l dd ɛ
갈대를	k a l d e r ɯ l
갈대아	k a l d e a
갈대와	k a l d e wa
갈등	k a l dd ɯ ŋ
갈등과	k a l dd ɯ ŋ g wa
갈등도	k a l dd ɯ ŋ d o
갈등은	k a l dd ɯ ŋ ɯ n
갈등을	k a l dd ɯ ŋ ɯ l
갈등의	k a l d ɯ ŋ i
갈등이	k a l dd ɯ ŋ i
갈등하고	k a l dd ɯ ŋ x a g o
갈때	k a l dd ɛ
갈때가	k a l dd e g a
갈때까지	k a l dd e gg a ʣ i
갈때는	k a l dd ɛ n ɯ n
갈때도	k a l dd e d o
갈때마다	k a l dd ɛ m a d a
갈라	k a l l a
갈라고	k a l l a g o
갈라디아	k a l l a d i a
갈라디아서	k a l l a d i a s ʌ
갈라면	k a l l a m jʌ n
갈라서	k a l l a s ʌ
갈라져	k a l l a ʣ jʌ
갈라져서	k a l l a ʣ jʌ s ʌ
갈라지게	k a l l a ʣ i g e
갈라지고	k a l l a ʣ i g o
갈라지는	k a l l a ʣ i n ɯ n
갈라진	k a l l a ʣ i n
갈라집니다	k a l l a ʣ i m n i d a
갈래	k a l l ɛ
갈래로	k a l l ɛ r o
갈래요	k a l l ɛ jo
갈려	k a l l jʌ
갈려서	k a l l jʌ s ʌ
갈로	k a l l o
갈리	k a l l i
갈리고	k a l l i g o
갈리는	k a l l i n ɯ n
갈릭	k a l l i k
갈릭버터	k a l l i k bb ʌ tʰ ʌ
갈린	k a l l i n
갈린다	k a l l i n d a
갈릴	k a l l i l
갈릴리	k a l l i l l i
갈릴리로	k a l l i l l i r o
갈릴리에서	k a l l i l l i e s ʌ
갈림길	k a l l i m gg i l
갈림길에서	k a l l i m g i r e s ʌ
갈마	k a l m a
갈만한	k a l m a n x a n
갈망	k a l m a ŋ
갈망이	k a l m a ŋ i
갈망하고	k a l m a ŋ x a g o
갈망하는	k a l m a ŋ x a n ɯ n
갈매	k a l m ɛ
갈매기	k a l m ɛ g i
갈매기가	k a l m ɛ g i g a
갈면	k a l m jʌ n
갈바	k a l bb a
갈바람	k a l bb a r a m
갈변	k a l b jʌ n
갈비	k a l b i
갈비를	k a l b i r ɯ l
갈비뼈	k a l b i bb jʌ
갈비뼈가	k a l b i bb jʌ g a
갈비뼈를	k a l b i bb jʌ r ɯ l
갈비살	k a l b i ss a l
갈비집	k a l b i ʨʨ i p
갈비찜	k a l b i ʨʨ i m
갈비탕	k a l b i tʰ a ŋ
갈색	k a l ss ɛ k
갈색으로	k a l ss ɛ g ɯ r o
갈색을	k a l ss ɛ g ɯ l
갈색이	k a l s e g i
갈색이고	k a l s e g i g o
갈색입니다	k a l s e g i m n i d a
갈수	k a l ss u
갈수가	k a l ss u g a
갈수도	k a l ss u d o
갈수록	k a l ss u r o k
갈아	k a r a
갈아내고	k a r a n ɛ g o
갈아도	k a r a d o
갈아서	k a r a s ʌ
갈아야	k a r a ja
갈아입고	k a r a i p gg o
갈아주고	k a r a ʣ u g o
갈아타기	k a r a tʰ a g i
갈아타기를	k a r a tʰ a g i r ɯ l
갈은	k a r ɯ n
갈이가	k a r i g a
갈증	k a l ʨʨ ɯ ŋ
갈증을	k a l ʨʨ ɯ ŋ ɯ l
갈증이	k a l ʣ ɯ ŋ i
갈지	k a l ʨʨ i
갈지는	k a l ʨʨ i n ɯ n
갈지도	k a l ʨʨ i d o
갈지자	k a l ʨʨ i ʨʨ a
갈진	k a l ʣ i n
갈치	k a l ʨʰ i
